Monitoring type,Site name,Latitude,Longitude,Reource label,Start date,End date,Near real-time period,Period type,Update frequency,Resource Url,Website Url
Air quality,Auckland Point,-23.8351,151.2539,2014 data,1/01/2014,31/12/2014,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/b0d94d45-2a7b-4543-a445-360cbf515ae1,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#cbd
Air quality,Auckland Point,-23.8351,151.2539,2015 data,1/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/7cd48be0-aea2-4fdb-8011-b1790d45b9cf,
Air quality,Auckland Point,-23.8351,151.2539,2016 data,1/01/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/532924b5-a99c-4148-8a40-4c2094937c14,
Air quality,Auckland Point,-23.8351,151.2539,2017 data,1/01/2017,31/12/2017,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2017/resource/affb1d59-4ebe-4a43-b25b-c36d31f0bda4,
Air quality,Auckland Point,-23.8351,151.2539,Latest measurement,,,1,Value,Hourly,https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#cbd
Air quality,Ayr,-19.5839,147.4059,2011 data,1/01/2011,31/12/2011,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2011/resource/22fa95e6-c1f1-47c2-a07c-397c5ef2374a,
Air quality,Ayr,-19.5839,147.4059,2012 data,1/01/2012,31/12/2012,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2012/resource/eac716e4-0c93-408c-91f8-4cba7a07f7e0,
Air quality,Ayr,-19.5839,147.4059,2013 data,1/01/2013,31/12/2013,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2013/resource/48ed7d6c-e3f3-4d34-85a7-8b728e858f7c,
Air quality,Ayr,-19.5839,147.4059,2014 data,1/01/2014,31/12/2014,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/6b873014-4f53-4c9b-b08e-63229f410050,
Air quality,Ayr,-19.5839,147.4059,2015 data,1/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/c1ed7d18-0818-49fc-9a77-b97ec399420a,
Air quality,Ayr,-19.5839,147.4059,2016 data,1/01/2016,8/03/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/4017bfa8-f86c-4d51-8cd1-81396234a20b,
Air quality,Boat Creek,-23.8199,151.1538,2010 data,1/01/2010,31/12/2010,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2010/resource/5e4ce171-7a7e-40dd-ad9e-e74320e195ef,
Air quality,Boat Creek,-23.8199,151.1538,2011 data,1/01/2011,31/12/2011,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2011/resource/1b9c333b-7ca0-4b71-9a1b-ee942666a444,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#boat_creek
Air quality,Boat Creek,-23.8199,151.1538,2012 data,1/01/2012,31/12/2012,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2012/resource/d546e57a-4b82-4ea3-a0a0-57591c04fd15,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#boat_creek
Air quality,Boat Creek,-23.8199,151.1538,2013 data,1/01/2013,31/12/2013,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2013/resource/77de89d5-65a9-46f6-8886-d40ba38b1eec,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#boat_creek
Air quality,Boat Creek,-23.8199,151.1538,2014 data,1/01/2014,31/12/2014,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/6e6a5411-3837-4b67-99b5-309e600a57f4,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#boat_creek
Air quality,Boat Creek,-23.8199,151.1538,2015 data,1/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/7049c1f3-b193-4655-8fcc-c2e27f43f86c,
Air quality,Boat Creek,-23.8199,151.1538,2016 data,1/01/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/cd6c4690-1c08-41b9-bd1b-f1227edc5a0f,
Air quality,Boat Creek,-23.8199,151.1538,2017 data,1/01/2017,31/12/2017,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2017/resource/fdcf1758-9f47-42d4-bb11-2cf14347eff1,
Air quality,Boat Creek,-23.8199,151.1538,Latest measurement,,,1,Value,Hourly,https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#boat_creek
Air quality,Boyne Island,-23.9408,151.3507,2010 data,1/01/2010,31/12/2010,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2010/resource/282168df-f4fb-4697-9fe8-b622d13f2261,
Air quality,Boyne Island,-23.9408,151.3507,2011 data,1/01/2011,31/12/2011,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2011/resource/26e4f8b1-8a2a-45d1-8f4c-d169cd67beaa,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#boyne
Air quality,Boyne Island,-23.9408,151.3507,2012 data,1/01/2012,31/12/2012,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2012/resource/737dad9f-9bdd-4ba2-964c-4f932d2f797d,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#boyne
Air quality,Boyne Island,-23.9408,151.3507,2013 data,1/01/2013,31/12/2013,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2013/resource/1b627fa0-d865-4516-a9b4-b2ec3564f125,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#boyne
Air quality,Boyne Island,-23.9408,151.3507,2014 data,1/01/2014,31/12/2014,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/3d830328-0f07-45de-8a4c-946814e79035,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#boyne
Air quality,Boyne Island,-23.9408,151.3507,2015 data,1/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/28a02bee-86b3-4958-b980-0a1fe33b7141,
Air quality,Boyne Island,-23.9408,151.3507,2016 data,1/01/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/bc9dc094-0704-46b7-bded-c39a56c8f377,
Air quality,Boyne Island,-23.9408,151.3507,2017 data,1/01/2017,31/12/2017,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2017/resource/3bdaaa42-efe5-44ad-bc72-882e27a6c786,
Air quality,Boyne Island,-23.9408,151.3507,Latest measurement,,,1,Value,Hourly,https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#boyne
Air quality,Brisbane CBD,-27.4774,153.0281,2010 data,1/01/2010,31/12/2010,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2010/resource/cfc29159-7a6b-406d-aa26-99490ada8880,
Air quality,Brisbane CBD,-27.4774,153.0281,2011 data,1/01/2011,31/12/2011,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2011/resource/5ef86caa-1497-4304-886c-3e04aec85297,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#cbd
Air quality,Brisbane CBD,-27.4774,153.0281,2012 data,1/01/2012,31/12/2012,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2012/resource/35aec14e-469c-4508-9b63-551100662959,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#cbd
Air quality,Brisbane CBD,-27.4774,153.0281,2013 data,1/01/2013,31/12/2013,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2013/resource/6f86aecf-5901-4acf-b70a-f8cb94e87f9f,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#cbd
Air quality,Brisbane CBD,-27.4774,153.0281,2014 data,1/01/2014,31/12/2014,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/4ccdd4a8-fd44-4803-a7f6-d1e694d32612,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#cbd
Air quality,Brisbane CBD,-27.4774,153.0281,2015 data,1/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/bbe0c9cd-d9ab-4f43-bb8e-895f9a8d8484,
Air quality,Brisbane CBD,-27.4774,153.0281,2016 data,1/01/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/284c45b7-ccf5-4d93-b460-ccf92202f663,
Air quality,Brisbane CBD,-27.4774,153.0281,2017 data,1/01/2017,31/12/2017,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2017/resource/6d0370fe-b900-4374-acf7-4522954dab92,
Air quality,Brisbane CBD,-27.4774,153.0281,Latest measurement,,,1,Value,Hourly,https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#cbd
Air quality,Burncluith,-26.5803,150.659,2016 data,1/06/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/7896af61-0046-405b-9116-7febd66f0dd1,
Air quality,Cannon Hill,-27.4654,153.0872,2014 data,31/01/2014,31/12/2014,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/8c3b46ba-7b85-4a06-963f-f9bc1dc7c1a6,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#cannonhill
Air quality,Cannon Hill,-27.4654,153.0872,2015 data,1/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/424e91f7-25a3-468b-8f3f-6caedc892d36,
Air quality,Cannon Hill,-27.4654,153.0872,2016 data,1/01/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/8f78d41f-e360-463b-870f-c90bd8075b05,
Air quality,Cannon Hill,-27.4654,153.0872,2017 data,1/01/2017,31/12/2017,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2017/resource/93dec212-cdbb-4a8c-a66b-fa44d71dc039,
Air quality,Cannon Hill,-27.4654,153.0872,Latest measurement,,,1,Value,Hourly,https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#cannonhill
Air quality,Clinton,-23.8701,151.2216,2010 data,1/01/2010,31/12/2010,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2010/resource/7d417b5c-5091-4e12-903d-830d68c9c27a,
Air quality,Clinton,-23.8701,151.2216,2011 data,1/01/2011,31/12/2011,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2011/resource/85d63b0f-241a-4ecd-9594-8a59fc153266,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#clinton
Air quality,Clinton,-23.8701,151.2216,2012 data,1/01/2012,31/12/2012,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2012/resource/ea11f4e8-c639-44c1-abde-7d34c10478c0,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#clinton
Air quality,Clinton,-23.8701,151.2216,2013 data,1/01/2013,31/12/2013,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2013/resource/8420de6d-efef-4fc4-9756-400e6f9228c7,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#clinton
Air quality,Clinton,-23.8701,151.2216,2014 data,1/01/2014,31/12/2014,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/bde694a2-5328-49c0-b673-f9793ade0b18,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#clinton
Air quality,Clinton,-23.8701,151.2216,2015 data,1/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/8bea24b6-a22a-4435-a52b-d5041133ac89,
Air quality,Clinton,-23.8701,151.2216,2016 data,1/01/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/bbeb39b6-077f-485b-aebb-9b991c8ebf80,
Air quality,Clinton,-23.8701,151.2216,2017 data,1/01/2017,31/12/2017,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2017/resource/8bb20d5e-9f22-4bc2-9c48-433d1b572f3f,
Air quality,Clinton,-23.8701,151.2216,Latest measurement,,,1,Value,Hourly,https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/gladstone/#clinton
Air quality,Condamine,-26.9774,149.9522,2016 data,1/03/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/b2010b30-f982-4094-a820-8a94348f58e9,
Air quality,Deception Bay,-27.1935,153.0347,2010 data,1/01/2010,31/12/2010,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2010/resource/95e0c7e3-62c2-4dd1-8c79-f6db5e2a0c72,
Air quality,Deception Bay,-27.1935,153.0347,2011 data,1/01/2011,31/12/2011,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2011/resource/6d44b732-722a-43c5-bfab-d7a2eee3fe4b,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#deception
Air quality,Deception Bay,-27.1935,153.0347,2012 data,1/01/2012,31/12/2012,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2012/resource/ef21cd92-eccf-4425-a3c7-6f590bc8327a,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#deception
Air quality,Deception Bay,-27.1935,153.0347,2013 data,1/01/2013,31/12/2013,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2013/resource/9f26b949-22cd-4f49-9323-f5c692dffaf4,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#deception
Air quality,Deception Bay,-27.1935,153.0347,2014 data,1/01/2014,31/12/2014,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/b476f3f6-8390-483d-a05e-aeadbfecb91a,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#deception
Air quality,Deception Bay,-27.1935,153.0347,2015 data,1/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/be0ba961-456e-451d-842d-d62fe7a85ae8,
Air quality,Deception Bay,-27.1935,153.0347,2016 data,1/01/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/16fc598d-6dae-4c5e-a69b-580f698530aa,
Air quality,Deception Bay,-27.1935,153.0347,2017 data,1/01/2017,31/12/2017,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2017/resource/96de5878-0df8-4b8b-9153-70eb52152af9,
Air quality,Deception Bay,-27.1935,153.0347,Latest measurement,,,1,Value,Hourly,https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#deception
Air quality,Fisherman's Landing,-23.7937,151.1601,2016 data,29/01/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/b4252f5e-b893-4a26-a9f4-bd37bdbad536,
Air quality,Fisherman's Landing,-23.7937,151.1601,2017 data,1/01/2017,31/12/2017,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2017/resource/69988721-dad1-440d-b533-dfa5515e1146,
Air quality,Flinders View,-27.6528,152.7741,2010 data,1/01/2010,31/12/2010,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2010/resource/918b2471-d280-4b2a-b4a1-8f8c44c45bbc,
Air quality,Flinders View,-27.6528,152.7741,2011 data,1/01/2011,31/12/2011,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2011/resource/0a408975-3d22-4e82-8d0b-14a0817632aa,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#flinders
Air quality,Flinders View,-27.6528,152.7741,2012 data,1/01/2012,31/12/2012,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2012/resource/454e79f2-8c6b-482c-9948-034aef84eea5,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#flinders
Air quality,Flinders View,-27.6528,152.7741,2013 data,1/01/2013,31/12/2013,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2013/resource/463fcfc4-a639-4841-aa59-0e58ee7497e5,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#flinders
Air quality,Flinders View,-27.6528,152.7741,2014 data,1/01/2014,31/12/2014,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/5fb40bc6-51bb-4b1e-969f-ead57b5e176b,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#flinders
Air quality,Flinders View,-27.6528,152.7741,2015 data,1/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/0928bf42-ad8b-41ca-bc6e-64f4f2c8051c,
Air quality,Flinders View,-27.6528,152.7741,2016 data,1/01/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/a1d38257-3dee-4f94-a3f9-80c4b86e49d0,
Air quality,Flinders View,-27.6528,152.7741,2017 data,1/01/2017,31/12/2017,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2017/resource/a0524f61-cfce-4e15-8067-f32485d21534,
Air quality,Flinders View,-27.6528,152.7741,Latest measurement,,,1,Value,Hourly,https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#flinders
Air quality,Gatton,-27.5434,152.3343,2010 data,1/01/2010,31/12/2010,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2010/resource/c2ff863a-33fd-4b39-bd2b-4d03175c7aca,
Air quality,Gatton,-27.5434,152.3343,2011 data,1/01/2011,31/12/2011,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2011/resource/c2f2eeac-6443-4534-9e0c-95070a0e85d2,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#gatton
Air quality,Gatton,-27.5434,152.3343,2012 data,1/01/2012,31/12/2012,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2012/resource/f691e0e7-40e4-4126-b1f1-43e95581b7b6,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#gatton
Air quality,Gatton,-27.5434,152.3343,2013 data,1/01/2013,31/12/2013,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2013/resource/7e0d2b56-6139-41b0-aee4-d187df03eca2,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#gatton
Air quality,Gatton,-27.5434,152.3343,2014 data,1/01/2014,31/12/2014,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/74c4cd5e-db27-4f60-930c-4133205f327f,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#gatton
Air quality,Gatton,-27.5434,152.3343,2015 data,1/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/99b8121b-359f-4cbc-94c0-190c5f302335,
Air quality,Gatton,-27.5434,152.3343,2016 data,1/01/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/027856d6-d02d-49c8-abed-8df7747bfd42,
Air quality,Gatton,-27.5434,152.3343,2017 data,1/01/2017,31/12/2017,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2017/resource/e50ef007-5e36-415d-bab4-7ddfa9ee03d5,
Air quality,Gatton,-27.5434,152.3343,Latest measurement,,,1,Value,Hourly,https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1,
Air quality,Hopeland,-26.8838,150.5955,2015 data,14/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/9668e335-ddd0-47ba-ae7b-5adb4a25e14a,
Air quality,Hopeland,-26.8838,150.5955,2016 data,1/01/2016,31/12/2016,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2016/resource/d727e1e5-ead3-470d-add5-bcd960656503,
Air quality,Hopeland,-26.8838,150.5955,Latest measurement,,,1,Value,Hourly,https://data.qld.gov.au/dataset/air-quality-monitoring-live-data-feed/resource/50410fbe-8766-45cd-a259-c4c1f3c89dd1,
Air quality,Jondaryan,-27.3713,151.5934,2014 data,12/03/2014,31/12/2014,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2014/resource/422353d2-ea21-4371-aa47-e830361af537,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/seq/#jondaryan
Air quality,Jondaryan,-27.3713,151.5934,2015 data,1/01/2015,31/12/2015,,,Historic,https://data.qld.gov.au/dataset/air-quality-monitoring-2015/resource/3f6685d9-4b7a-4681-8aac-81558fe410fc,
